conference_id,event,gender,place,predicted_year,predicted_seconds,predicted_time,predicted_low,predicted_time_low,predicted_high,predicted_time_high,r2,p_value,slope,intercept,sample_size
143,200 Free Relay,F,8,2027,107.0322,1:47.03,102.759,1:42.76,111.3053,1:51.31,0.4882,0.0807,0.281501,-463.5712,7
143,200 Free Relay,F,16,2027,117.6403,1:57.64,112.3765,1:52.38,122.9041,2:02.90,0.7902,0.0437,0.442599,-779.5079,5
143,200 IM,F,1,2027,124.4453,2:04.45,118.1268,1:58.13,130.7639,2:10.76,0.0,0.9817,-0.003061,130.6503,16
143,200 IM,F,8,2027,129.6995,2:09.70,123.6281,2:03.63,135.7709,2:15.77,0.062,0.3523,-0.120872,374.7073,16
143,200 IM,F,16,2027,134.35,2:14.35,127.194,2:07.19,141.5059,2:21.51,0.0001,0.9671,0.00622,121.7412,16
143,200 IM,F,24,2027,134.4,2:14.40,122.8187,2:02.82,133.43,2:13.43,0.8648,0.0072,-0.679,1504.4573,6
143,200 Medley Relay,F,1,2027,103.8477,1:43.85,99.7769,1:39.78,107.9185,1:47.92,0.0355,0.5792,0.073468,-45.0722,11
143,200 Medley Relay,F,8,2027,126.1985,2:06.20,122.1118,2:02.11,130.2853,2:10.29,0.9463,0.0,1.331556,-2572.8657,8
143,200 Medley Relay,F,16,2027,168.1949,2:48.19,142.9057,2:22.91,193.484,3:13.48,0.8805,0.0056,3.82211,-7579.2223,6
143,400 Free Relay,F,1,2027,207.7094,3:27.71,197.797,3:17.80,217.6219,3:37.62,0.0176,0.6978,0.124707,-45.0717,11
143,400 Free Relay,F,8,2027,240.8691,4:00.87,230.5873,3:50.59,251.1509,4:11.15,0.8215,0.0019,1.687082,-3178.8458,8
143,400 Free Relay,F,16,2027,294.8609,4:54.86,198.0233,3:18.02,391.6985,6:31.70,0.5304,0.1629,5.758425,-11377.467,5
143,400 IM,F,1,2027,266.1508,4:26.15,246.5423,4:06.54,285.7593,4:45.76,0.0018,0.877,-0.063962,395.8009,16
143,400 IM,F,8,2027,284.2127,4:44.21,268.8054,4:28.81,299.6199,4:59.62,0.0268,0.5927,0.198842,-118.8407,13
143,400 IM,F,16,2027,300.3671,5:00.37,292.3947,4:52.39,308.3396,5:08.34,0.5206,0.0036,0.636179,-989.1686,14
143,400 Medley Relay,F,1,2027,229.0869,3:49.09,218.0896,3:38.09,240.0842,4:00.08,0.0664,0.4442,0.276051,-330.4684,11
143,400 Medley Relay,F,8,2027,273.7471,4:33.75,252.1237,4:12.12,295.3704,4:55.37,0.6904,0.0813,1.47988,-2725.9702,5
143,50 Free,F,1,2027,23.095,23.10,22.2706,22.27,23.9194,23.92,0.2208,0.0663,-0.033979,91.9701,16
143,50 Free,F,8,2027,24.3923,24.39,23.4051,23.41,25.3794,25.38,0.0021,0.8653,-0.003529,31.5448,16
143,50 Free,F,16,2027,24.8037,24.80,23.7952,23.80,25.8122,25.81,0.035,0.5043,-0.014206,53.5984,15
143,50 Free,F,24,2027,24.8537,24.85,21.048,21.05,22.744,22.74,0.9807,0.0011,-0.228,484.052,5
143,500 Free,F,1,2027,300.8393,5:00.84,289.6367,4:49.64,312.0418,5:12.04,0.1513,0.1365,0.366216,-441.4799,16
143,500 Free,F,8,2027,314.982,5:14.98,304.7874,5:04.79,325.1765,5:25.18,0.0724,0.3135,0.220554,-132.0804,16
143,500 Free,F,16,2027,323.9532,5:23.95,313.8862,5:13.89,334.0203,5:34.02,0.2295,0.0605,0.425351,-538.234,16
143,500 Free,F,24,2027,324.0032,5:24.00,261.0751,4:21.08,292.4781,4:52.48,0.9588,0.0006,-3.834143,8048.5841,6
143,800 Free Relay,F,1,2027,458.8318,7:38.83,436.9123,7:16.91,480.7512,8:00.75,0.2056,0.1613,1.049646,-1668.8017,11
143,800 Free Relay,F,8,2027,539.986,8:59.99,509.5274,8:29.53,570.4445,9:30.44,0.7344,0.0032,4.326776,-8230.388,9
143,100 Back,M,1,2027,49.2061,49.21,47.0745,47.07,51.3377,51.34,0.0059,0.7781,0.012672,23.5197,16
143,100 Back,M,8,2027,51.5606,51.56,48.486,48.49,54.6351,54.64,0.1474,0.142,-0.098987,252.2065,16
143,100 Back,M,16,2027,54.8594,54.86,51.8842,51.88,57.8346,57.83,0.0,0.9857,0.001122,52.5844,16
143,100 Back,M,24,2027,55.391,55.39,42.6161,42.62,68.1659,1:08.17,0.0098,0.8517,-0.064429,185.9878,6
143,100 Breast,M,1,2027,55.3825,55.38,53.3987,53.40,57.3663,57.37,0.1142,0.2006,0.055135,-56.376,16
143,100 Breast,M,8,2027,57.9797,57.98,55.4207,55.42,60.5386,1:00.54,0.045,0.448,-0.041131,141.353,15
143,100 Breast,M,16,2027,60.16,1:00.16,56.7067,56.71,63.6132,1:03.61,0.0013,0.9003,0.009068,41.7795,15
143,100 Breast,M,24,2027,60.21,1:00.21,49.4397,49.44,60.3447,1:00.34,0.7664,0.0223,-0.499714,1067.813,6
143,100 Fly,M,1,2027,48.0069,48.01,45.6032,45.60,50.4107,50.41,0.0496,0.4071,-0.04251,134.1743,16
143,100 Fly,M,8,2027,51.2795,51.28,48.7514,48.75,53.8077,53.81,0.0001,0.9656,0.002297,46.623,16
143,100 Fly,M,16,2027,52.3653,52.37,49.5849,49.58,55.1457,55.15,0.047,0.4197,-0.047827,149.3099,16
143,100 Fly,M,24,2027,52.4153,52.42,50.6677,50.67,53.5215,53.52,0.6394,0.0562,-0.096143,246.9761,6
143,100 Free,M,1,2027,44.6509,44.65,43.8537,43.85,45.4481,45.45,0.0014,0.8908,0.002307,39.9753,16
143,100 Free,M,8,2027,46.4665,46.47,44.8531,44.85,48.08,48.08,0.0131,0.673,-0.014391,75.6363,16
143,100 Free,M,16,2027,47.5894,47.59,45.638,45.64,49.5408,49.54,0.0186,0.6148,-0.020779,89.7081,16
143,100 Free,M,24,2027,47.7008,47.70,46.1579,46.16,49.2437,49.24,0.5088,0.0719,-0.077552,204.8985,7
143,1000 Free,M,1,2027,549.0345,9:09.03,543.1828,9:03.18,554.8862,9:14.89,0.2385,0.3257,-0.165714,884.9374,6
143,1000 Free,M,8,2027,592.2376,9:52.24,586.1244,9:46.12,598.3509,9:58.35,0.2037,0.369,0.156429,275.1569,6
