conference_id,event,gender,place,predicted_year,predicted_seconds,predicted_time,predicted_low,predicted_time_low,predicted_high,predicted_time_high,r2,p_value,slope,intercept,sample_size
40,200 IM,F,8,2027,133.6321,2:13.63,129.7344,2:09.73,137.5298,2:17.53,0.3597,0.0025,-0.17416,486.6552,23
40,200 IM,F,16,2027,139.5671,2:19.57,134.5665,2:14.57,144.5678,2:24.57,0.4882,0.0026,-0.297429,742.4564,16
40,200 Medley Relay,F,1,2027,105.9715,1:45.97,103.5467,1:43.55,108.3962,1:48.40,0.4208,0.0165,-0.099201,307.0518,13
40,200 Medley Relay,F,8,2027,112.7298,1:52.73,106.2841,1:46.28,119.1755,1:59.18,0.3072,0.0769,-0.211654,541.7515,11
40,200 Medley Relay,F,16,2027,124.646,2:04.65,109.9574,1:49.96,139.3346,2:19.33,0.0277,0.6939,0.161337,-202.3844,8
40,400 Free Relay,F,1,2027,211.1491,3:31.15,208.2029,3:28.20,214.0952,3:34.10,0.2618,0.0891,-0.084593,382.6191,12
40,400 Free Relay,F,8,2027,221.0375,3:41.04,213.1175,3:33.12,228.9574,3:48.96,0.5505,0.0057,-0.422616,1077.6807,12
40,400 Free Relay,F,16,2027,231.1362,3:51.14,221.9901,3:41.99,240.2822,4:00.28,0.7322,0.0008,-0.709187,1668.6581,11
40,400 Free Relay,F,24,2027,232.2272,3:52.23,214.2449,3:34.24,250.2095,4:10.21,0.9222,0.0397,-2.297458,4889.1738,4
40,400 IM,F,1,2027,269.6815,4:29.68,259.9895,4:19.99,279.3736,4:39.37,0.0562,0.288,-0.142504,558.5368,22
40,400 IM,F,8,2027,288.5883,4:48.59,278.5175,4:38.52,298.6592,4:58.66,0.4935,0.0003,-0.598764,1502.2828,22
40,400 IM,F,16,2027,305.3338,5:05.33,280.8969,4:40.90,329.7707,5:29.77,0.3599,0.0302,-1.226066,2790.5704,13
40,400 Medley Relay,F,1,2027,234.3856,3:54.39,225.6389,3:45.64,243.1322,4:03.13,0.203,0.0919,-0.221136,682.6291,15
40,400 Medley Relay,F,8,2027,249.6089,4:09.61,237.6036,3:57.60,261.6142,4:21.61,0.2783,0.0433,-0.373452,1006.5951,15
40,400 Medley Relay,F,16,2027,262.6555,4:22.66,239.3647,3:59.36,285.9464,4:45.95,0.5414,0.0064,-1.216373,2728.2438,12
40,50 Free,F,1,2027,23.6662,23.67,22.4722,22.47,24.8602,24.86,0.0063,0.7182,-0.005682,35.1841,23
40,50 Free,F,8,2027,24.7662,24.77,24.0725,24.07,25.46,25.46,0.2343,0.0193,-0.022877,71.137,23
40,50 Free,F,16,2027,25.4918,25.49,24.659,24.66,26.3246,26.32,0.3868,0.0045,-0.039334,105.2211,19
40,500 Free,F,1,2027,303.7684,5:03.77,296.9718,4:56.97,310.565,5:10.56,0.0203,0.5163,-0.058368,422.0803,23
40,500 Free,F,8,2027,318.4856,5:18.49,306.8341,5:06.83,330.1372,5:30.14,0.1706,0.0561,-0.306407,939.5728,22
40,500 Free,F,16,2027,336.4049,5:36.40,323.9661,5:23.97,348.8437,5:48.84,0.108,0.2139,-0.232177,807.0271,16
40,800 Free Relay,F,1,2027,461.571,7:41.57,451.15,7:31.15,471.9919,7:51.99,0.108,0.1572,-0.224744,917.1271,20
40,800 Free Relay,F,8,2027,491.5293,8:11.53,475.5904,7:55.59,507.4683,8:27.47,0.6618,0.0,-1.33839,3204.4461,19
40,100 Back,M,1,2027,50.1622,50.16,47.9044,47.90,52.42,52.42,0.2943,0.0075,-0.086921,226.3521,23
40,100 Back,M,8,2027,53.1593,53.16,51.8604,51.86,54.4582,54.46,0.7931,0.0,-0.151608,360.4684,23
40,100 Back,M,16,2027,60.9181,1:00.92,49.4438,49.44,72.3924,1:12.39,0.0946,0.3066,-0.201994,470.3604,13
40,100 Breast,M,1,2027,54.8719,54.87,53.1519,53.15,56.5919,56.59,0.6058,0.0,-0.1271,312.5044,23
40,100 Breast,M,8,2027,59.5364,59.54,57.4856,57.49,61.5873,1:01.59,0.5054,0.0001,-0.123588,310.0483,23
40,100 Breast,M,16,2027,66.1983,1:06.20,61.7185,1:01.72,70.6781,1:10.68,0.3028,0.0514,-0.143667,357.4107,13
40,100 Fly,M,1,2027,49.465,49.46,48.4939,48.49,50.436,50.44,0.5511,0.0,-0.064141,179.479,23
40,100 Fly,M,8,2027,52.0715,52.07,51.0385,51.04,53.1045,53.10,0.6916,0.0,-0.092216,238.9938,23
